                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3167,                0.99285,                  1.314,                0.91268,                0.84146,                0.91317,                0.51176,                 1.4598,                 1.0575,                  1.406,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2968,                0.79152,                 1.3078,                0.93567,                0.90009,                0.93879,                 0.5851,                 1.3212,                0.71421,                 1.2959,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.2654,                0.75495,                 1.2868,                0.94954,                0.90904,                0.95525,                0.59191,                  1.339,                0.65989,                 1.3097,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.2275,                0.70342,                 1.2622,                0.96334,                0.91207,                0.95746,                0.62078,                 1.2824,                0.58836,                  1.261,               0.001703,               0.001703,               0.001703
